Plan,Name,Min,Max,Cost,Annual,Send,PPS,
"$4,235",High Volume,"370,001","375,000","$4,235","$42,350","4,500,000",$0.0098,
"$4,284",High Volume,"375,001","380,000","$4,284","$42,840","4,560,000",$0.0098,
"$4,333",High Volume,"380,001","385,000","$4,333","$43,330","4,620,000",$0.0098,
"$4,382",High Volume,"385,001","390,000","$4,382","$43,820","4,680,000",$0.0098,
"$4,431",High Volume,"390,001","395,000","$4,431","$44,310","4,740,000",$0.0098,
"$4,480",High Volume,"395,001","400,000","$4,480","$44,800","4,800,000",$0.0098,
"$4,529",High Volume,"400,001","405,000","$4,529","$45,290","4,860,000",$0.0098,
"$4,578",High Volume,"405,001","410,000","$4,578","$45,780","4,920,000",$0.0098,
"$4,627",High Volume,"410,001","415,000","$4,627","$46,270","4,980,000",$0.0098,
"$4,676",High Volume,"415,001","420,000","$4,676","$46,760","5,040,000",$0.0098,
"$4,725",High Volume,"420,001","425,000","$4,725","$47,250","5,100,000",$0.0098,
"$4,774",High Volume,"425,001","430,000","$4,774","$47,740","5,160,000",$0.0098,
"$4,823",High Volume,"430,001","435,000","$4,823","$48,230","5,220,000",$0.0098,
"$4,872",High Volume,"435,001","440,000","$4,872","$48,720","5,280,000",$0.0098,
"$4,921",High Volume,"440,001","445,000","$4,921","$49,210","5,340,000",$0.0098,
"$4,970",High Volume,"445,001","450,000","$4,970","$49,700","5,400,000",$0.0098,
"$5,019",High Volume,"450,001","455,000","$5,019","$50,190","5,460,000",$0.0098,
"$5,068",High Volume,"455,001","460,000","$5,068","$50,680","5,520,000",$0.0098,
"$5,117",High Volume,"460,001","465,000","$5,117","$51,170","5,580,000",$0.0098,
"$5,166",High Volume,"465,001","470,000","$5,166","$51,660","5,640,000",$0.0098,
"$5,215",High Volume,"470,001","475,000","$5,215","$52,150","5,700,000",$0.0098,
"$5,264",High Volume,"475,001","480,000","$5,264","$52,640","5,760,000",$0.0098,
"$5,313",High Volume,"480,001","485,000","$5,313","$53,130","5,820,000",$0.0098,
"$5,362",High Volume,"485,001","490,000","$5,362","$53,620","5,880,000",$0.0098,
"$5,411",High Volume,"490,001","495,000","$5,411","$54,110","5,940,000",$0.0098,
"$5,460",High Volume,"495,001","500,000","$5,460","$54,600","6,000,000",$0.0098,
"$5,509",High Volume,"500,001","505,000","$5,509","$55,090","6,060,000",$0.0098,
"$5,558",High Volume,"505,001","510,000","$5,558","$55,580","6,120,000",$0.0098,
"$5,607",High Volume,"510,001","515,000","$5,607","$56,070","6,180,000",$0.0098,
"$5,656",High Volume,"515,001","520,000","$5,656","$56,560","6,240,000",$0.0098,
"$5,705",High Volume,"520,001","525,000","$5,705","$57,050","6,300,000",$0.0098,
"$5,754",High Volume,"525,001","530,000","$5,754","$57,540","6,360,000",$0.0098,
"$5,803",High Volume,"530,001","535,000","$5,803","$58,030","6,420,000",$0.0098,
"$5,852",High Volume,"535,001","540,000","$5,852","$58,520","6,480,000",$0.0098,
"$5,901",High Volume,"540,001","545,000","$5,901","$59,010","6,540,000",$0.0098,
"$5,950",High Volume,"545,001","550,000","$5,950","$59,500","6,600,000",$0.0098,
"$5,999",High Volume,"550,001","555,000","$5,999","$59,990","6,660,000",$0.0098,
"$6,048",High Volume,"555,001","560,000","$6,048","$60,480","6,720,000",$0.0098,
"$6,097",High Volume,"560,001","565,000","$6,097","$60,970","6,780,000",$0.0098,
"$6,146",High Volume,"565,001","570,000","$6,146","$61,460","6,840,000",$0.0098,
"$6,195",High Volume,"570,001","575,000","$6,195","$61,950","6,900,000",$0.0098,
"$6,244",High Volume,"575,001","580,000","$6,244","$62,440","6,960,000",$0.0098,
"$6,293",High Volume,"580,001","585,000","$6,293","$62,930","7,020,000",$0.0098,
"$6,342",High Volume,"585,001","590,000","$6,342","$63,420","7,080,000",$0.0098,
"$6,391",High Volume,"590,001","595,000","$6,391","$63,910","7,140,000",$0.0098,
"$6,440",High Volume,"595,001","600,000","$6,440","$64,400","7,200,000",$0.0098,
"$6,489",High Volume,"600,001","605,000","$6,489","$64,890","7,260,000",$0.0098,
"$6,538",High Volume,"605,001","610,000","$6,538","$65,380","7,320,000",$0.0098,
"$6,587",High Volume,"610,001","615,000","$6,587","$65,870","7,380,000",$0.0098,
"$6,636",High Volume,"615,001","620,000","$6,636","$66,360","7,440,000",$0.0098,
"$6,685",High Volume,"620,001","625,000","$6,685","$66,850","7,500,000",$0.0098,
"$6,734",High Volume,"625,001","630,000","$6,734","$67,340","7,560,000",$0.0098,
"$6,783",High Volume,"630,001","635,000","$6,783","$67,830","7,620,000",$0.0098,
"$6,832",High Volume,"635,001","640,000","$6,832","$68,320","7,680,000",$0.0098,
